127.0.0.1 - - [11/Oct/2022:14:57:41 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Oct/2022:14:57:42 +0900] "GET /practice01/ HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [11/Oct/2022:14:57:42 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Oct/2022:14:58:27 +0900] "GET /practice01/ HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:00:47 +0900] "GET /practice01/ HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:18:12 +0900] "GET /practice01/ HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:18:13 +0900] "GET /practice01/test01.jsp?id=kbs&pw=1234&name=%EA%B0%95%EB%B3%91%EC%88%98 HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:20:34 +0900] "GET /practice01/ HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:20:34 +0900] "GET /practice01/ HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:20:35 +0900] "GET /practice01/ HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:20:35 +0900] "GET /practice01/ HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:29:45 +0900] "GET /practice01/test01.jsp?id=kbs&pw=1234&name=%EA%B0%95%EB%B3%91%EC%88%98 HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:32:59 +0900] "GET /practice01/test01.jsp?id=kbs&pw=1234&name=%EA%B0%95%EB%B3%91%EC%88%98 HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:07:37 +0900] "GET /practice01/ HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:07:42 +0900] "POST /practice01/test02.jsp HTTP/1.1" 200 209
